Qe_PHYS_W,Qe_ANN_W
21832.48265,21710.18345
6745.866366,6815.616153
29679.00409,29479.28047
14324.07157,14402.38683
9423.188101,9408.952751
17634.94477,17835.91119
8225.099182,8331.468534
8017.863334,8003.463354
8762.560209,8821.350382
7721.605533,7695.894155
28582.88122,28795.95756
7153.924543,7119.418578
8588.844204,8636.449789
14948.10433,14869.816
8396.062102,8488.566547
13406.61502,13270.86692
16661.23974,16735.2301
28279.02165,28234.82218
7659.007151,7667.708004
7059.660053,7030.014421
6967.655143,6962.508349
16886.83544,16726.99818
25842.09128,25679.23157
12454.13357,12479.23338
13221.42829,13179.56305
18303.45707,18276.55606
13921.84279,13908.62358
5644.59131,5660.473661
9156.299522,9206.282242
5601.558381,5626.539014
11774.19637,11831.28054
9912.873434,9842.872926
8782.778787,8887.836349
7912.905955,7926.575374
12229.15165,12184.95471
19481.98562,19649.79439
9497.989102,9515.642431
26648.10487,26903.07255
30361.02795,30672.79566
6742.061517,6767.31439
7574.53736,7576.506435
24717.5051,24347.5954
7083.262022,7055.290576
6299.173858,6408.972236
6655.193937,6767.290032
9028.92849,9054.105468
8794.926068,8889.506809
5590.41214,5632.33085
8382.222112,8488.154252
7381.839219,7311.177293
10720.21622,10736.64671
16803.99264,16360.84899
13679.24143,13711.1578
24539.06594,24232.87605
14777.9797,14811.34228
25865.82963,25703.03842
5920.075898,6025.724588
11720.36653,11816.15737
15090.94285,15156.37944
5562.672367,5587.942095
8722.188551,8841.177639
20365.7277,20598.80213
9510.053454,9425.335631
18771.20945,18711.72408
32676.75554,32281.72005
7502.032761,7539.276002
9734.580283,9638.558339
21506.19483,21599.03301
19490.16728,19575.3589
6304.732744,6408.60042
6230.520393,6315.778934
19485.34817,19590.25467
8202.330359,8287.598252
9474.021615,9386.923774
8412.170996,8513.971021
8678.069209,8736.521214
9248.871157,9237.933533
8087.947686,8163.056057
24521.18618,24535.80129
6918.206909,6902.617901
20632.97609,20748.64665
11198.51171,11159.1828
5574.029857,5619.401665
12799.37191,12813.43006
28829.1535,28996.40164
6405.958382,6478.156776
5858.719477,5900.672008
10835.59672,10734.29143
7782.562014,7752.636693
26276.7197,26230.81432
6265.807859,6366.739737
5883.8706,5943.565635
16102.65517,16123.57125
12765.93598,12727.79724
6553.886263,6646.865899
14505.89808,14602.30612
6282.069537,6344.086549
9205.911462,9284.066577
5493.809139,5479.175407
17235.00882,17254.79397
8429.529995,8494.477772
24145.60925,24162.99131
10032.86056,10003.67667
9248.323649,9308.031036
7374.092513,7340.564565
13337.40902,13212.24639
7355.422288,7327.852078
5414.445237,5422.174373
9606.454202,9488.263437
13517.20267,13532.08025
16011.12313,16028.26065
7112.538511,7101.631425
10372.38284,10316.90018
6034.788599,6105.780822
12225.76529,12211.15035
6082.227322,6171.329417
7501.304549,7409.373299
19506.63972,19501.09863
6460.476458,6534.39418
8679.899643,8728.048547
6820.02609,6849.510191
5960.622528,5993.185197
12609.68993,12596.4126
15265.42292,15217.88955
7479.588858,7399.615537
11330.09051,11350.19589
6639.227643,6691.335921
10183.96474,10127.12702
14066.05668,14044.10468
6431.377859,6560.900037
12301.9902,12355.67295
7333.999468,7303.015881
16125.22611,16015.51293
11741.39563,11906.0071
23208.47773,23142.79744
5797.402979,5800.494987
5472.686874,5537.346607
9082.524693,9071.142267
11637.68496,11814.98229
6786.497636,6815.351158
14130.48264,14060.4403
6275.140155,6385.907926
7421.366616,7437.831882
27551.36838,27762.00457
7958.983789,8048.339859
6533.601442,6584.582364
6327.518055,6388.485875
16460.78071,16485.50099
17683.0102,17711.03842
11867.03855,11805.22322
6453.211558,6520.559322
6749.102013,6801.834544
7877.090942,7963.413498
10065.77426,9857.200613
21130.69193,21198.80782
20646.59057,20677.08294
6304.66044,6366.917743
8914.393706,8949.790948
8497.556144,8580.750815
16703.32835,16897.52128
27257.48885,27266.84348
16967.53354,16853.16354
7854.220762,7861.17803
6677.541412,6742.507135
29454.40024,29333.90985
6882.525338,6898.519943
21297.45265,21449.33933
7507.804074,7476.618141
9085.669695,9142.94398
14902.50424,14957.1885
5924.123942,6009.245022
7799.380833,7831.010995
6810.45485,6867.204841
7137.1847,7120.664303
17144.93027,17268.01409
8874.635804,8897.955201
5969.858816,6037.891849
18216.43785,18111.09757
18999.4065,18756.03693
21419.83015,21756.12934
6188.43443,6264.676843
5402.997419,5381.840184
13626.91703,13633.81589
15417.89458,15330.04925
8216.404296,8282.357937
16621.25157,16625.19485
24337.74903,24355.15419
7525.936842,7471.364266
10041.34853,9971.76854
19756.44066,19725.92377
7801.235831,7770.029012
6232.184253,6348.871123
9979.212072,9917.837292
12639.14309,12517.1646
9405.94368,9343.516093
17541.00689,17415.64807
5512.950885,5556.063388
30652.45962,30762.45978
6361.433305,6452.644232
7309.989625,7284.010036
9797.468448,9699.267468
8015.412371,8054.39933
14506.0702,14545.13159
9633.25867,9595.985947
17005.26991,16943.40931
15143.06719,15092.32967
22120.28796,22423.01356
9291.631125,9313.590369
25568.1926,25383.95483
9844.287765,9760.289668
10073.98683,10124.47351
10239.96653,10118.03291
8777.903471,8818.287324
23544.88529,23483.75635
15743.08316,15795.04826
7428.721945,7356.205617
7673.430207,7644.231752
6444.942237,6516.222492
6153.83758,6241.146087
12110.08054,12128.49899
9446.870031,9479.329064
15237.22867,15336.97844
10047.9903,10061.59885
5877.585227,5937.93515
8943.720565,9047.173485
10102.76843,10058.92315
6774.836626,6824.574951
20874.84594,20966.60988
10540.24778,10439.9383
7165.110206,7202.4893
6651.3742,6744.821328
11395.49022,11354.96471
7199.434917,7232.910374
6203.145932,6313.50117
22240.23542,21963.84445
14192.55409,14288.64403
20981.51201,21258.80423
7565.050322,7502.643432
7113.482284,7097.851334
10153.57637,10025.27318
6693.670259,6769.526567
5951.134492,6040.564328
5772.047258,5869.257829
7360.268974,7279.630143
8775.441372,8852.567494
8367.758319,8410.069934
13915.22301,13981.53686
7024.573048,7005.129073
5948.604209,5999.356213
18591.41772,18559.8133
7089.674222,7118.433884
7469.217791,7374.506097
11870.05867,11942.42844
27951.41518,28625.35476
22068.38428,22040.69376
7876.380906,7873.040072
6201.340774,6275.171558
5565.799786,5606.975924
26268.08466,26561.4864
10242.82393,10038.7911
10509.58509,10570.99804
27333.32544,27312.38804
18986.82963,18925.12614
13331.3734,13264.75114
5325.838913,5324.583972
10426.23242,10272.37986
9127.479305,9110.429533
11533.66794,11619.24386
6032.314138,6121.764005
28213.69217,28108.30034
25026.08525,25297.84328
8606.074312,8685.586573
17425.1101,17633.96488
10622.10787,10565.20518
12050.68154,12028.33664
17398.61116,17354.64563
16478.71328,16083.73259
6154.742767,6262.163805
32472.7542,32187.15015
19778.27637,19754.44775
11983.73633,12001.72284
5887.24941,5912.062926
6443.775643,6529.836378
10279.22176,10230.82333
29996.46739,30166.88269
10124.60888,9957.830478
23172.65534,23135.15641
10738.70655,10758.64275
9096.369743,9148.993792
8434.43972,8536.543713
5984.583842,6061.719047
6010.871188,6031.788129
6419.360346,6493.09504
7875.635346,7965.454082
7078.799144,7051.937506
7520.511312,7454.12983
7314.793485,7245.212223
9636.924006,9764.268107
23681.15891,23567.00312
28370.39383,28321.51193
10156.53476,9961.048661
6705.532002,6781.446388
14961.15742,15012.53714
7892.917269,7894.923552
16373.26094,16424.9078
6695.719785,6746.95558
14283.0574,14324.06593
6592.379614,6673.396965
10415.1653,10250.27507
6568.859525,6668.477224
14915.56618,14942.77333
25862.22095,25860.7143
7148.59856,7112.726819
16567.75681,16523.7096
7311.231392,7271.12236
12036.12461,12077.11478
5947.013168,6011.281571
21772.82653,21747.05636
20182.47208,20224.87168
11475.8117,11550.06488
9703.457029,9775.571979
8917.075074,8976.902644
23731.17489,23703.30098
9242.565023,9327.933146
17828.19555,17833.06494
6004.238642,6061.710319
14046.12046,14170.76327
32594.37669,33108.13513
5530.356793,5547.101733
7500.594031,7457.082003
10760.15442,10664.06302
5991.119667,6040.559108
6427.357288,6511.753977
7508.34232,7512.663105
6063.703867,6110.259754
6994.41211,6978.515608
26200.83716,25953.5716
19125.60957,19190.00528
14686.58375,14753.75878
7678.87294,7665.129152
6972.068771,7013.764158
7109.366033,7053.882795
18916.70413,19067.76817
10164.80393,9994.595845
21134.05584,21084.20952
10535.01666,10523.72053
8200.355041,8249.713745
6992.270983,7015.752623
6353.613193,6453.426552
7441.793145,7433.376708
12550.50664,12529.39531
9333.966081,9393.763
26797.12594,26976.71826
13351.01363,13336.97143
11626.4942,11683.08173
20329.49846,20624.33326
10158.25141,9998.935629
9814.186005,9803.447845
11833.81807,11755.56935
5534.954627,5538.312585
6654.998372,6717.507513
14989.28571,15158.09825
17477.84517,17329.85667
29204.36082,29137.36901
25129.68244,25192.38301
16477.50689,16421.86269
5890.473182,5950.987904
6326.132724,6399.912693
7029.45244,7056.934267
5433.45267,5412.038821
5196.410464,5167.33496
9582.899613,9562.429689
8665.092553,8741.314416
5968.184645,6053.001173
9611.78968,9559.837655
6400.025611,6489.561218
9320.668385,9327.910218
9427.474448,9360.543241
6976.82838,7030.95792
7202.854585,7184.909745
13599.64008,13510.32714
6645.65363,6744.238653
5828.224394,5915.723273
14861.82033,14894.34765
11187.23631,11163.33955
19384.5708,19529.57495
14049.38187,14170.4043
10334.52311,10227.3271
10470.12422,10350.7923
7583.052192,7590.797565
6532.601733,6609.782337
7096.081242,7078.232095
7234.876408,7175.432207
6155.057805,6268.941524
25361.56079,25631.16119
6964.833959,6966.98321
28027.57043,28749.12396
9680.011353,9589.1638
6055.129925,6144.647816
7365.891226,7288.25768
14240.53388,14381.71362
5605.512604,5658.452509
5797.089678,5849.001467
10807.80091,10730.12097
15741.36928,15615.09355
20665.30165,20711.57984
5725.447658,5749.761507
22629.04958,22687.28563
14305.32087,14278.81901
7109.164952,7132.037529
7720.479927,7716.530853
11280.93181,11317.5805
8169.031857,8188.844706
6591.787516,6663.224988
5998.781366,6046.375316
24069.36259,24053.01625
14975.80549,15085.35178
8095.164864,8155.386451
6970.416683,6964.750508
6732.354205,6776.204664
10343.26634,10220.6361
6099.330095,6174.10688
15412.95358,15538.24178
7981.420365,8046.540495
16998.95031,16765.18418
6571.250886,6623.461182
33653.39704,33273.12313
16374.11885,16305.62945
9966.830244,9977.278812
16110.85021,15850.68102
20803.29181,20960.54143
6194.36489,6278.613401
6804.098477,6816.66085
8005.679744,8047.727622
6591.332609,6663.32264
5916.423147,5957.884882
23728.85385,23563.95692
6102.578844,6190.123743
9149.142874,9182.865822
7111.656316,7102.451136
13231.63435,13057.6254
5829.604782,5906.433129
13044.48044,12953.25038
21515.44662,21652.67411
5329.037893,5354.184069
6425.69328,6494.498973
13663.38245,13627.92635
10297.64976,10256.03244
9828.98813,9650.199721
6753.941386,6788.932031
10621.37142,10448.17552
8469.568759,8545.687647
8221.193936,8307.468446
5838.051661,5859.80889
5943.122196,6063.221161
15670.37815,15641.95156
9107.7304,9199.542143
11817.21122,11838.7392
7075.306913,7126.397539
7468.586331,7414.919455
17549.62379,17422.92806
6080.466203,6159.995356
10328.07011,10186.25709
29409.20586,29221.18737
14349.10167,14456.23798
10542.538,10430.64028
8099.621905,8169.549589
11172.2051,11146.47731
5868.788389,5962.12924
6911.117873,6958.379094
8140.009639,8174.152458
7453.204574,7417.05026
31351.03256,31630.5475
6123.73503,6159.525068
9399.920164,9416.311915
6639.99412,6742.103518
16373.42816,16551.31569
18454.02533,18395.81401
10953.83414,10944.90544
6162.900033,6217.328514
24216.3514,24241.81539
7997.141079,8057.995342
13920.14634,13924.50907
18450.6865,18558.88876
6944.355536,7013.443162
7189.37913,7144.573638
6419.398346,6510.01109
12919.22398,12831.54839
11415.10824,11410.90442
6394.319336,6481.669838
8067.026111,8113.521712
5681.046524,5717.081939
26916.76724,26815.41408
5480.895853,5496.908864
6346.770999,6452.780942
5509.301013,5501.014559
8423.291525,8477.341632
13343.6897,13240.82384
7248.149133,7188.348837
9398.066579,9367.157859
24795.11228,24450.30035
11509.22118,11492.41896
9827.487437,9966.750479
11023.18342,10995.57824
20711.5958,20865.63232
11245.84631,11388.5576
6227.47088,6298.946735
16668.46197,16584.89136
7866.181562,7923.319415
10868.02158,10840.50649
9548.252023,9532.092186
12881.12035,12830.73608
16696.34428,16874.23042
16357.72187,16406.41319
15111.33949,15187.90661
5128.085623,5012.892421
19725.72616,19828.47321
12839.15884,12704.04194
23942.29527,23833.49259
21872.65243,21879.00257
18880.20132,18731.96858
6110.327851,6211.896673
5513.417873,5560.765605
13497.92983,13350.44912
7775.709414,7863.676045
6164.818349,6247.129396
6361.413681,6434.996741
5658.369777,5666.931042
11116.27548,11173.3761
11500.38224,11621.59779
22239.68409,22116.98356
7692.912199,7704.857669
14588.2302,14694.10559
6876.164222,6869.304808
15945.23432,15866.93321
13344.68763,13457.87754
22039.97718,22244.9465
7350.357978,7354.470722
29359.50874,29202.78418
28017.0632,28108.09758
9321.394525,9319.202025
5605.64178,5600.519933
17973.00527,17954.10645
6123.26161,6211.474667
10080.98517,9854.020794
19839.80446,19834.61021
6422.65996,6523.927228
10241.72737,10124.50794
14198.07998,14192.08461
5911.167755,5939.146567
9032.935397,9018.803313
13198.16142,13074.03139
22954.14519,23044.74187
6265.137105,6348.685912
20239.88229,20378.61439
5679.516537,5718.47139
9218.024828,9324.22082
17685.25823,17713.53255
6008.862546,6041.95231
8006.197703,8034.839322
7816.787584,7785.830612
7171.595659,7174.271982
6462.534333,6527.160909
7597.566546,7556.491761
6097.590125,6157.321821
8391.298973,8468.647281
20416.71353,20310.62477
14486.03426,14626.4956
9816.783743,9645.118894
10222.68391,10054.24055
9656.45316,9536.940039
16547.13089,16597.60975
5908.348946,5950.234781
10555.92901,10561.59625
7303.432749,7242.105075
8177.049226,8279.196262
9372.367303,9367.885574
8604.039281,8722.162731
9987.283877,9937.66209
9369.826518,9473.033986
12290.04869,12450.95854
12416.53141,12414.19269
31155.36317,31076.43131
22996.39622,22699.17465
5614.778296,5619.788547
7896.559043,7965.471892
12798.23207,12764.16521
17448.91408,17491.0247
12213.79503,12092.69556
7166.757204,7134.868972
7082.972518,7068.830244
30555.82955,30372.08496
9054.037808,9042.266495
7710.240226,7691.057752
11571.22492,11672.43894
6045.415408,6112.033848
7184.526643,7152.053525
15255.10292,15204.30813
6920.17851,6937.365393
16559.11885,16615.1552
24544.06441,24283.27379
