A,A_pv,T_h,tau,C_total,E_dest,Qe,Qh,Wpv,COP_th,Ecool,CV,feasible,Qe_phys,COP_phys,E_dest_phys,C_total_phys
0.8000782524596384,17.677337274240845,360.0023775666421,685.4265997374437,8354.009502636472,2337.222383036856,5001.389786760806,12443.772108635772,3111.2113602663885,0.40191910805646497,-539.7183223123171,0.0,True,5143.83383090607,0.4011613842785454,2407.280430817239,8361.695332356541
0.800518307523606,17.676454587366866,360.0005875387216,685.4338507122451,8354.02208592467,2336.9795460622518,5000.947374939074,12442.7879450138,3111.0560073765682,0.40191534220778097,-539.6705800293964,0.0,True,5143.54543288111,0.4011562793457044,2407.1144867552666,8361.716225741684
0.8000603987219939,17.679281569483255,360.0000385219095,685.4342529988811,8354.354523080994,2336.903381385444,5000.808206694478,12442.477018264275,3111.553556229053,0.4019142007940868,-539.6555618735048,0.0,True,5143.470617180482,0.4011547118056988,2407.069981688665,8362.052135157577
0.8000453817635614,17.679990394146298,360.0002808283906,685.44716573521,8354.48292423287,2336.8670620329885,5000.720395921293,12442.241576676719,3111.6783093697486,0.401914748649091,-539.6460858907869,0.0,True,5143.405413350838,0.4011554038689735,2407.0436554864104,8362.181756108565
0.8015936384265044,17.68071733463359,360.00001569391515,685.4482314670573,8355.366932974874,2336.834960372177,5000.66315252071,12442.116376868224,3111.806250895512,0.4019141921721372,-539.6399085454004,0.0,True,5143.362827916748,0.4011546513531406,2407.019121373737,8363.06655574804
0.8002774547118569,17.709018773367156,360.0006096902615,685.4467125485603,8360.337293135128,2336.8327523907246,5000.634304906246,12442.001047096324,3116.7873041126195,0.40191559910479824,-539.6367954934798,0.0,True,5143.451817231949,0.4011563426945041,2407.0710583248324,8368.043274016012
0.8016095279778159,17.70812450466849,360.0003248481486,685.4484951851576,8360.796293796233,2336.798199224412,5000.572601801387,12441.866240993804,3116.629912821654,0.4019149944986036,-539.6301368850417,0.0,True,5143.401266850064,0.4011555334768309,2407.0424579386017,8368.502876442744
0.80124326808037,17.721647840219436,360.0001407213078,685.4462832988266,8363.293027108728,2336.750167774574,5000.478408436225,12441.641779254423,3119.010019878621,0.40191467469945785,-539.6199721334056,0.0,True,5143.393773206848,0.40115500708564544,2407.035770706625,8371.00428779779
0.8002414935813486,17.767220225846906,360.00011344651875,685.4266200991823,8371.832072484925,2336.7189696524542,5000.414742386471,12441.478940329165,3127.0307597490555,0.40191481787406974,-539.6131016963817,0.0,True,5143.537690403242,0.40115492558764126,2407.102667077704,8379.554533708852
0.800241257190063,17.76867908288795,360.00011490080954,685.4266200991823,8372.120390172759,2336.7153039388477,5000.406911340058,12441.459115189635,3127.287518588279,0.4019148288833035,-539.6122566194307,0.0,True,5143.537880522816,0.40115492973640493,2407.102781211597,8379.843284193412
0.8007399800709426,17.77278460211415,360.00036404591754,685.4344638730978,8373.170080535236,2336.697709601005,5000.358920623834,12441.32216292057,3128.0100899720906,0.4019153957387767,-539.6070777651619,0.0,True,5143.5116244378005,0.40115564230051487,2407.094795798249,8380.894147287787
0.8002308783171018,17.775695408925667,360.00007218216325,685.433969389809,8373.49790879294,2336.6558858497765,5000.2821435266005,12441.149717388542,3128.5223919709174,0.40191479542585107,-539.5987924668993,0.0,True,5143.477153659309,0.40115480825820915,2407.073621041932,8381.224258260532
0.8009057559612061,17.783549887331638,360.0000840504119,685.4349797798635,8375.374558741309,2336.6344673963868,5000.236217089175,12441.03331798421,3129.904780170368,0.40191486424693146,-539.5938363765296,0.0,True,5143.4711559771395,0.4011548438795016,2407.071011399009,8383.103062638142
0.8002774547118569,17.787513536291378,360.0000970174545,685.4467125485603,8375.849836672674,2336.565727792411,5000.089063108697,12440.664712704158,3130.6023823872824,0.4019149441430333,-539.5779564505788,0.0,True,5143.38479403675,0.4011548799851141,2407.0308236729657,8383.581620715555
0.8004375481397904,17.843678583534174,360.0005930031173,685.4333702190665,8387.043657752462,2336.542424613457,5000.020431957056,12440.453137831677,3140.4874307020145,0.40191626274061426,-539.570550211193,0.0,True,5143.549748625665,0.40115629470410535,2407.1166020709998,8394.788045342495
0.8001563705415641,18.020803026388087,360.0000969696698,685.3284956271693,8421.97926904716,2336.5287617814433,5000.019261702564,12440.46095252846,3171.6613326443035,0.4019159162013475,-539.5704239247372,0.0,True,5144.271869983216,0.4011548725826906,2407.445995304788,8429.762683163024
0.8012032751777248,18.024082027751017,360.0000969696698,685.3284956271693,8423.130533509295,2336.524431176623,5000.010142689425,12440.437784220892,3172.238436884179,0.4019159316910294,-539.5694398585711,0.0,True,5144.271918973635,0.40115487522261595,2407.446006041909,8430.914442301608
1.0407083341022476,21.364171835205877,360.00000989163834,683.7297453792255,9199.43702955887,2336.516258659127,5000.126641179316,12440.311993214269,3760.0942429962342,0.40192936028507165,-539.5820116380556,0.0,True,5156.296871766589,0.4011550368317459,2413.070104765651,9207.86348084955
1.0399678149467861,21.437687337059955,360.0015187607014,683.7284566081205,9213.632991579398,2336.5045052558307,5000.0403100963595,12439.986294594517,3773.032971322552,0.40193294362944765,-539.5726953341394,0.0,True,5156.50431808943,0.4011593402392606,2413.193361720145,9222.075294168952
1.0399678149467861,21.43952773421579,360.0015177477735,683.7284566081205,9213.996825069768,2336.4995455997737,5000.0298360481775,12439.959991595364,3773.356881221979,0.40193295150677955,-539.5715650411702,0.0,True,5156.504185338321,0.40115933734966086,2413.1932820254674,9222.439685642978
1.0816188945449674,21.50982387896519,360.00128054250445,683.7234569057231,9247.906628760269,2336.4818341693945,5000.004794234307,12439.904633277096,3785.7290026978735,0.40193272710943084,-539.5688626871554,0.0,True,5156.512103341523,0.4011587304929511,2413.192550236892,9256.351267740874
1.0816188945449674,21.511664276121024,360.0013165772474,683.7234569057231,9248.270881713801,2336.481252975337,5000.002094236697,12439.895251673903,3786.0529125973003,0.4019328131853764,-539.5685713205069,0.0,True,5156.516826008988,0.4011588332926442,2413.1953853824916,9256.715921197916
